,duration,Max no. resources in a week,Sum of activities delays,network,activities start times,activities end times,activities durations,resources allocation
1681,16,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 9, 'F': 1, 'G': 7, 'C': 3, 'D': 10, 'E': 13}","{'A': 8, 'B': 16, 'F': 5, 'G': 9, 'C': 9, 'D': 12, 'E': 16}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[6, 8, 8, 12, 12, 10, 10, 16, 10, 4, 9, 9, 4, 10, 10, 10]"
1684,17,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 8, 'F': 2, 'G': 6, 'C': 2, 'D': 8, 'E': 14}","{'A': 8, 'B': 15, 'F': 6, 'G': 8, 'C': 8, 'D': 10, 'E': 17}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[6, 6, 12, 12, 12, 12, 16, 16, 9, 9, 4, 4, 4, 4, 10, 6, 6]"
1690,17,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 2, 'B': 10, 'F': 1, 'G': 5, 'C': 3, 'D': 10, 'E': 13}","{'A': 10, 'B': 17, 'F': 5, 'G': 7, 'C': 9, 'D': 12, 'E': 16}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[0, 2, 8, 12, 12, 16, 16, 10, 10, 6, 9, 9, 4, 10, 10, 10, 4]"
1699,17,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 10, 'F': 1, 'G': 6, 'C': 2, 'D': 10, 'E': 13}","{'A': 8, 'B': 17, 'F': 5, 'G': 8, 'C': 8, 'D': 12, 'E': 16}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[6, 8, 12, 12, 12, 10, 16, 16, 0, 0, 9, 9, 4, 10, 10, 10, 4]"
1710,17,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 2, 'B': 10, 'F': 1, 'G': 5, 'C': 1, 'D': 8, 'E': 13}","{'A': 10, 'B': 17, 'F': 5, 'G': 7, 'C': 7, 'D': 10, 'E': 16}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[0, 6, 12, 12, 12, 16, 16, 6, 11, 11, 4, 4, 4, 10, 10, 10, 4]"
1728,17,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 10, 'F': 0, 'G': 7, 'C': 2, 'D': 9, 'E': 12}","{'A': 8, 'B': 17, 'F': 4, 'G': 9, 'C': 8, 'D': 11, 'E': 15}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[8, 8, 12, 12, 10, 10, 10, 16, 6, 5, 9, 4, 10, 10, 10, 4, 4]"
1731,17,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 2, 'B': 10, 'F': 0, 'G': 6, 'C': 2, 'D': 8, 'E': 12}","{'A': 10, 'B': 17, 'F': 4, 'G': 8, 'C': 8, 'D': 10, 'E': 15}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[2, 2, 12, 12, 10, 10, 16, 16, 11, 11, 4, 4, 10, 10, 10, 4, 4]"
1750,17,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 2, 'B': 10, 'F': 0, 'G': 6, 'C': 4, 'D': 10, 'E': 12}","{'A': 10, 'B': 17, 'F': 4, 'G': 8, 'C': 10, 'D': 12, 'E': 15}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[2, 2, 8, 8, 10, 10, 16, 16, 10, 10, 9, 9, 10, 10, 10, 4, 4]"
1752,16,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 1, 'B': 9, 'F': 0, 'G': 6, 'C': 2, 'D': 11, 'E': 13}","{'A': 9, 'B': 16, 'F': 4, 'G': 8, 'C': 8, 'D': 13, 'E': 16}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[2, 8, 12, 12, 10, 10, 16, 16, 6, 4, 4, 9, 9, 10, 10, 10]"
1797,16,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 1, 'B': 9, 'F': 2, 'G': 7, 'C': 2, 'D': 9, 'E': 12}","{'A': 9, 'B': 16, 'F': 6, 'G': 9, 'C': 8, 'D': 11, 'E': 15}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[0, 6, 12, 12, 12, 12, 10, 16, 12, 9, 9, 4, 10, 10, 10, 4]"
1802,17,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 10, 'F': 0, 'G': 6, 'C': 1, 'D': 9, 'E': 13}","{'A': 8, 'B': 17, 'F': 4, 'G': 8, 'C': 7, 'D': 11, 'E': 16}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[8, 12, 12, 12, 10, 10, 16, 12, 0, 5, 9, 4, 4, 10, 10, 10, 4]"
1804,16,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 9, 'F': 2, 'G': 7, 'C': 2, 'D': 11, 'E': 13}","{'A': 8, 'B': 16, 'F': 6, 'G': 9, 'C': 8, 'D': 13, 'E': 16}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[6, 6, 12, 12, 12, 12, 10, 16, 6, 4, 4, 9, 9, 10, 10, 10]"
1818,17,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 8, 'F': 1, 'G': 6, 'C': 2, 'D': 8, 'E': 14}","{'A': 8, 'B': 15, 'F': 5, 'G': 8, 'C': 8, 'D': 10, 'E': 17}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[6, 8, 12, 12, 12, 10, 16, 16, 9, 9, 4, 4, 4, 4, 10, 6, 6]"
1828,16,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 9, 'F': 0, 'G': 7, 'C': 3, 'D': 11, 'E': 13}","{'A': 8, 'B': 16, 'F': 4, 'G': 9, 'C': 9, 'D': 13, 'E': 16}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[8, 8, 8, 12, 10, 10, 10, 16, 10, 4, 4, 9, 9, 10, 10, 10]"
1836,17,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 2, 'B': 10, 'F': 0, 'G': 5, 'C': 3, 'D': 11, 'E': 13}","{'A': 10, 'B': 17, 'F': 4, 'G': 7, 'C': 9, 'D': 13, 'E': 16}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[2, 2, 8, 12, 10, 16, 16, 10, 10, 6, 4, 9, 9, 10, 10, 10, 4]"
1850,17,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 10, 'F': 1, 'G': 6, 'C': 2, 'D': 9, 'E': 13}","{'A': 8, 'B': 17, 'F': 5, 'G': 8, 'C': 8, 'D': 11, 'E': 16}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[6, 8, 12, 12, 12, 10, 16, 16, 0, 5, 9, 4, 4, 10, 10, 10, 4]"
1874,17,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 1, 'B': 9, 'F': 1, 'G': 5, 'C': 3, 'D': 12, 'E': 14}","{'A': 9, 'B': 16, 'F': 5, 'G': 7, 'C': 9, 'D': 14, 'E': 17}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[0, 8, 8, 12, 12, 16, 16, 10, 10, 4, 4, 4, 9, 9, 10, 10, 6]"
1883,17,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 8, 'F': 0, 'G': 6, 'C': 2, 'D': 10, 'E': 14}","{'A': 8, 'B': 15, 'F': 4, 'G': 8, 'C': 8, 'D': 12, 'E': 17}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[8, 8, 12, 12, 10, 10, 16, 16, 4, 4, 9, 9, 4, 4, 10, 6, 6]"
1887,16,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 1, 'B': 9, 'F': 2, 'G': 6, 'C': 3, 'D': 11, 'E': 13}","{'A': 9, 'B': 16, 'F': 6, 'G': 8, 'C': 9, 'D': 13, 'E': 16}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[0, 6, 8, 12, 12, 12, 16, 16, 10, 4, 4, 9, 9, 10, 10, 10]"
1890,17,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 10, 'F': 0, 'G': 5, 'C': 2, 'D': 11, 'E': 14}","{'A': 8, 'B': 17, 'F': 4, 'G': 7, 'C': 8, 'D': 13, 'E': 17}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[8, 8, 12, 12, 10, 16, 16, 10, 0, 0, 4, 9, 9, 4, 10, 10, 10]"
1897,17,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 2, 'B': 10, 'F': 0, 'G': 4, 'C': 2, 'D': 10, 'E': 14}","{'A': 10, 'B': 17, 'F': 4, 'G': 6, 'C': 8, 'D': 12, 'E': 17}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[2, 2, 12, 12, 16, 16, 10, 10, 6, 6, 9, 9, 4, 4, 10, 10, 10]"
1902,16,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 1, 'B': 9, 'F': 0, 'G': 6, 'C': 2, 'D': 10, 'E': 13}","{'A': 9, 'B': 16, 'F': 4, 'G': 8, 'C': 8, 'D': 12, 'E': 16}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[2, 8, 12, 12, 10, 10, 16, 16, 6, 4, 9, 9, 4, 10, 10, 10]"
1922,17,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 1, 'B': 9, 'F': 0, 'G': 5, 'C': 2, 'D': 9, 'E': 14}","{'A': 9, 'B': 16, 'F': 4, 'G': 7, 'C': 8, 'D': 11, 'E': 17}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[2, 8, 12, 12, 10, 16, 16, 10, 6, 9, 9, 4, 4, 4, 10, 10, 6]"
1929,17,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 10, 'F': 2, 'G': 7, 'C': 2, 'D': 10, 'E': 12}","{'A': 8, 'B': 17, 'F': 6, 'G': 9, 'C': 8, 'D': 12, 'E': 15}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[6, 6, 12, 12, 12, 12, 10, 16, 6, 0, 9, 9, 10, 10, 10, 4, 4]"
1934,17,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 8, 'F': 1, 'G': 6, 'C': 3, 'D': 12, 'E': 14}","{'A': 8, 'B': 15, 'F': 5, 'G': 8, 'C': 9, 'D': 14, 'E': 17}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[6, 8, 8, 12, 12, 10, 16, 16, 8, 4, 4, 4, 9, 9, 10, 6, 6]"
1946,16,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 1, 'B': 9, 'F': 3, 'G': 7, 'C': 2, 'D': 10, 'E': 12}","{'A': 9, 'B': 16, 'F': 7, 'G': 9, 'C': 8, 'D': 12, 'E': 15}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[0, 6, 10, 12, 12, 12, 12, 16, 12, 4, 9, 9, 10, 10, 10, 4]"
1960,16,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 9, 'F': 2, 'G': 7, 'C': 2, 'D': 10, 'E': 13}","{'A': 8, 'B': 16, 'F': 6, 'G': 9, 'C': 8, 'D': 12, 'E': 16}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[6, 6, 12, 12, 12, 12, 10, 16, 6, 4, 9, 9, 4, 10, 10, 10]"
1996,17,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 10, 'F': 0, 'G': 5, 'C': 5, 'D': 12, 'E': 14}","{'A': 8, 'B': 17, 'F': 4, 'G': 7, 'C': 11, 'D': 14, 'E': 17}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[8, 8, 8, 8, 6, 16, 16, 10, 4, 4, 8, 4, 9, 9, 10, 10, 10]"
2019,17,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 0, 'B': 10, 'F': 2, 'G': 6, 'C': 4, 'D': 11, 'E': 13}","{'A': 8, 'B': 17, 'F': 6, 'G': 8, 'C': 10, 'D': 13, 'E': 16}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[6, 6, 8, 8, 12, 12, 16, 16, 4, 4, 4, 9, 9, 10, 10, 10, 4]"
2028,17,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 1, 'B': 9, 'F': 1, 'G': 5, 'C': 3, 'D': 11, 'E': 14}","{'A': 9, 'B': 16, 'F': 5, 'G': 7, 'C': 9, 'D': 13, 'E': 17}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[0, 8, 8, 12, 12, 16, 16, 10, 10, 4, 4, 9, 9, 4, 10, 10, 6]"
2047,16,16,8,"[['A', 'B'], ['F', 'G', 'B'], ['C', 'D', 'E']]","{'A': 1, 'B': 9, 'F': 0, 'G': 6, 'C': 2, 'D': 9, 'E': 13}","{'A': 9, 'B': 16, 'F': 4, 'G': 8, 'C': 8, 'D': 11, 'E': 16}","{'A': 8, 'B': 7, 'F': 4, 'G': 2, 'C': 6, 'D': 2, 'E': 3}","[2, 8, 12, 12, 10, 10, 16, 16, 6, 9, 9, 4, 4, 10, 10, 10]"
